"";"Grouping";"species";"labelit";"rank";"abundance";"proportion";"plower";"pupper";"accumfreq";"logabun";"rankfreq"
"1";"Cha";"ASV_1_Ostreococcus_lucimarinus";TRUE;1;10017;27,1;20,1;34,1;27,1;4;3,7
"2";"Cha";"ASV_2_Ostreococcus_lucimarinus";TRUE;2;7719;20,9;16,2;25,5;48;3,9;7,4
"3";"Cha";"ASV_4_Ostreococcus_lucimarinus";TRUE;3;7211;19,5;15,1;23,9;67,5;3,9;11,1
"4";"Cha";"ASV_10_Bathycoccus_prasinos";TRUE;4;2347;6,3;2,4;10,3;73,8;3,4;14,8
"5";"Cha";"ASV_13_Bathycoccus_prasinos";TRUE;5;1978;5,3;2;8,7;79,2;3,3;18,5
"6";"Cha";"ASV_14_Bathycoccus_prasinos";TRUE;6;1783;4,8;1,8;7,8;84;3,3;22,2
"7";"Cha";"ASV_15_Micromonas_bravo_B1";TRUE;7;1217;3,3;0,2;6,4;87,3;3,1;25,9
"8";"Cha";"ASV_26_Micromonas_bravo_B1";TRUE;8;926;2,5;0,1;4,9;89,8;3;29,6
"9";"Cha";"ASV_23_Micromonas_bravo_B1";TRUE;9;913;2,5;0,1;4,8;92,3;3;33,3
"10";"Cha";"ASV_21_Micromonas_commoda_A2";TRUE;10;684;1,8;0,2;3,5;94,1;2,8;37
"11";"Cha";"ASV_37_Micromonas_commoda_A2";FALSE;11;467;1,3;0,2;2,3;95,4;2,7;40,7
"12";"Cha";"ASV_33_Micromonas_commoda_A2";FALSE;12;454;1,2;0,2;2,3;96,6;2,7;44,4
"13";"Cha";"ASV_35_Ostreococcus_lucimarinus";FALSE;13;383;1;0,7;1,4;97,6;2,6;48,1
"14";"Cha";"ASV_52_Ostreococcus_lucimarinus";FALSE;14;319;0,9;0,6;1,2;98,5;2,5;51,9
"15";"Cha";"ASV_63_Ostreococcus_lucimarinus";FALSE;15;240;0,6;0,4;0,9;99,1;2,4;55,6
"16";"Cha";"ASV_235_Crustomastigaceae_X_sp.";FALSE;16;165;0,4;-0,2;1,1;99,6;2,2;59,3
