"";"Grouping";"species";"labelit";"rank";"abundance";"proportion";"plower";"pupper";"accumfreq";"logabun";"rankfreq"
"1";"Cha";"ASV_18_Rhizosolenia_delicatula";TRUE;1;8010;41,5;31,9;51;41,5;3,9;3,4
"2";"Cha";"ASV_28_Rhizosolenia_delicatula";TRUE;2;5692;29,5;22,7;36,2;70,9;3,8;6,9
"3";"Cha";"ASV_71_Chaetoceros_debilis";TRUE;3;1834;9,5;-2,6;21,6;80,4;3,3;10,3
"4";"Cha";"ASV_144_Chaetoceros_tenuissimus";TRUE;4;1437;7,4;4,1;10,8;87,8;3,2;13,8
"5";"Cha";"ASV_218_Guinardia_delicatula";TRUE;5;522;2,7;0,2;5,2;90,5;2,7;17,2
"6";"Cha";"ASV_131_Thalassiosira_tenera";TRUE;6;447;2,3;-1,8;6,4;92,9;2,7;20,7
"7";"Cha";"ASV_274_Guinardia_delicatula";TRUE;7;416;2,2;0;4,4;95;2,6;24,1
"8";"Cha";"ASV_77_Minutocellus_polymorphus";TRUE;8;257;1,3;-0,1;2,8;96,3;2,4;27,6
"9";"Cha";"ASV_446_Cylindrotheca_closterium";TRUE;9;173;0,9;0,3;1,5;97,2;2,2;31
"10";"Cha";"ASV_969_Thalassiosira_rotula";TRUE;10;93;0,5;-0,3;1,3;97,7;2;34,5
"11";"Cha";"ASV_576_Parmales_env_3A_sp.";FALSE;11;89;0,5;-0,6;1,6;98,2;1,9;37,9
"12";"Cha";"ASV_1166_Non_Assigned";FALSE;12;62;0,3;-0,2;0,8;98,5;1,8;41,4
"13";"Cha";"ASV_985_Non_Assigned";FALSE;13;45;0,2;-0,2;0,6;98,7;1,7;44,8
"14";"Cha";"ASV_465_Parmales_env_3B_sp.";FALSE;14;37;0,2;-0,2;0,6;98,9;1,6;48,3
"15";"Cha";"ASV_1171_Non_Assigned";FALSE;15;36;0,2;-0,1;0,5;99,1;1,6;51,7
"16";"Cha";"ASV_115_Minutocellus_polymorphus";FALSE;16;36;0,2;-0,3;0,7;99,3;1,6;55,2
"17";"Cha";"ASV_109_Non_Assigned";FALSE;17;26;0,1;-0,2;0,5;99,4;1,4;58,6
"18";"Cha";"ASV_1249_Non_Assigned";FALSE;18;23;0,1;-0,1;0,3;99,5;1,4;62,1
"19";"Cha";"ASV_2113_Rhizosolenia_imbricata";FALSE;19;17;0,1;0;0,2;99,6;1,2;65,5
"20";"Cha";"ASV_910_Triparma_pacifica";FALSE;20;11;0,1;-0,1;0,2;99,7;1;69
"21";"Cha";"ASV_946_Minidiscus_variabilis";FALSE;21;10;0,1;0;0,1;99,7;1;72,4
"22";"Cha";"ASV_1431_Brockmanniella_brockmannii";FALSE;22;10;0,1;-0,1;0,2;99,8;1;75,9
"23";"Cha";"ASV_1480_Triparma_laevis_clade";FALSE;23;10;0,1;-0,1;0,2;99,8;1;79,3
"24";"Cha";"ASV_1312_Brockmanniella brockmannii";FALSE;24;10;0,1;0;0,1;99,9;1;82,8
"25";"Cha";"ASV_1152_Minidiscus_variabilis";FALSE;25;7;0;0;0,1;99,9;0,8;86,2
"26";"Cha";"ASV_2680_Brockmanniella brockmannii";FALSE;26;5;0;0;0,1;100;0,7;89,7
"27";"Cha";"ASV_126_Detonula_pumila";FALSE;27;4;0;0;0,1;100;0,6;93,1
"28";"Cha";"ASV_3445_Guinardia_solstherfothii";FALSE;28;2;0;0;0;100;0,3;96,6
"29";"Cha";"ASV_2520_Rhizosolenia_delicatula";FALSE;29;2;0;0;0;100;0,3;100
