Species;RCC;Genbank_accession;Keep;Status
Micromonas_pusilla;RCC114;AY425320;Yes;Distributed
Micromonas_pusilla;RCC114;KU244630;Yes;Distributed
Ostreococcus_tauri;RCC116;Y15814;No;Cryopreserved
Ostreococcus_clade_B;RCC141;KT878663;No;Lost
Ostreococcus_clade_B;RCC143;AY425310;No;Lost
Ostreococcus_lucimarinus;RCC343;KT860633;Yes;Cryopreserved
Ostreococcus_lucimarinus;RCC371;KT860634;No;Lost
Micromonas_commoda;RCC372;KT860635;Yes;Distributed
Micromonas_commoda;RCC372;KU244634;Yes;Distributed
Micromonas_pusilla;RCC373;KF501025;Yes;Distributed
Micromonas_pusilla;RCC373;KF501014;Yes;Distributed
Throndsenia_aranea_nom_nud;RCC391;AY425321;Yes;Distributed
Ostreococcus_clade_B;RCC393;AY425311;No;Lost
Mantionella_squamata;RCC395;KT860636;Yes;Distributed
Ostreococcus_clade_B;RCC410;KT860680;Yes;Distributed
Micromonas_bravo;RCC418;KF501026;Yes;Distributed
Micromonas_bravo;RCC418;KF501015;Yes;Distributed
Ostreococcus_lucimarinus;RCC420;KT878674;No;Lost
Ostreococcus_sp;RCC422;KT860646;Yes;Cryopreserved
Ostreococcus_sp;RCC426;KT860647;Yes;Cryopreserved
Ostreococcus_sp;RCC427;KT860648;Yes;Cryopreserved
Ostreococcus_sp;RCC428;KT878675;No;Lost
Ostreococcus_sp;RCC429;KT860644;Yes;Cryopreserved
Micromonas_bravo;RCC434;AY425316;Yes;Distributed
Micromonas_bravo;RCC434;KR089060;Yes;Distributed
Micromonas_bravo;RCC434;KU244636;Yes;Distributed
Micromonas_pusilla;RCC447;KT860650;Yes;Distributed
Micromonas_commoda;RCC447;KU244638;Yes;Distributed
Micromonas_commoda;RCC448;KT860645;Yes;Distributed
Micromonas_commoda;RCC449;KT860641;Yes;Distributed
Micromonas_commoda;RCC449;KU244641;Yes;Distributed
Micromonas_commoda;RCC450;KU244643;Yes;Distributed
Micromonas_commoda;RCC451;KF501035;Yes;Distributed
Micromonas_commoda;RCC451;KF501024;Yes;Distributed
Ostreococcus_sp;RCC453;KT860656;Yes;Cryopreserved
Ostreococcus_sp;RCC454;KT860657;Yes;Cryopreserved
Micromonas_pusilla;RCC461;KF501027;No;Lost
Micromonas_pusilla;RCC461;KF501016;No;Lost
Ostreococcus_sp;RCC462;KT878676;No;Lost
Bathycoccus_prasinos;RCC463;KT860652;Yes;Cryopreserved
Micromonas_pusilla;RCC465;KT501028;Yes;Distributed
Micromonas_pusilla;RCC465;KF501017;Yes;Distributed
Ostreococcus_sp;RCC467;KT860653;Yes;Cryopreserved
Ostreococcus_sp;RCC468;KT860674;Yes;Cryopreserved
Micromonas_commoda;RCC472;KR089059;Yes;Distributed
Micromonas_commoda;RCC472;KU244645;Yes;Distributed
Micromonas_commoda;RCC496;KT860797;Yes;Distributed
Micromonas_pusilla;RCC497;KF501034;Yes;Cryopreserved
Micromonas_pusilla;RCC497;KF501023;Yes;Cryopreserved
Micromonas_pusilla;RCC498;KT860640;Yes;Distributed
Micromonas_pusilla;RCC498;KU244647;Yes;Distributed
Ostreococcus_mediterraneus;RCC501;AY425313;No;Lost
Bathycoccus_prasinos;RCC536;KT860681;Yes;Cryopreserved
Micromonas_commoda;RCC570;KT860879;Yes;Cryopreserved
Micromonas_commoda;RCC570;KU244649;Yes;Cryopreserved
Micromonas_commoda;RCC573;KT860607;Yes;Distributed
Micromonas_pusilla;RCC629;KF501029;Yes;Distributed
Micromonas_pusilla;RCC629;KF501018;Yes;Distributed
Micromonas_pusilla;RCC631;KT878680;No;Lost
Bathycoccus_prasinos;RCC634;KT860664;Yes;Distributed
Bathycoccus_prasinos;RCC640;KT878681;No;Lost
Micomomas_pusilla;RCC647;KT860882;Yes;Distributed
Micromonas_pusilla;RCC647;KU244651;Yes;Distributed
Micromonas_commoda;RCC658;KF501030;Yes;Distributed
Micromonas_commoda;RCC658;KF501019;Yes;Distributed
Ostreococcus_tauri;RCC675;KT860887;Yes;Distributed
Micromonas_commoda;RCC676;KU244653;Yes;Distributed
Micromonas_commoda;RCC676;KU244653;Yes;Distributed
Micromonas_commoda;RCC676;KT860888;Yes;Distributed
Micromonas_bravo;RCC688;KT860891;Yes;Distributed
Micromonas_pusilla;RCC692;KT860893;Yes;Distributed
Micromonas_pusilla;RCC692;KU244655;Yes;Distributed
Micromonas_pusilla;RCC693;KT860811;Yes;Cryopreserved
Bathycoccus_calidus;RCC715;KT860815;Yes;Distributed
Bathycoccus_calidus;RCC716;KT860816;Yes;Distributed
Micromonas_bravo;RCC746;KT860894;Yes;Distributed
Micromonas_bravo;RCC746;KU244657;Yes;Distributed
Ostreococcus_lucimarinus;RCC747;KT860895;Yes;Distributed
Ostreococcus_lucimarinus;RCC796;KT860897;Yes;Distributed
Bahycoccus_prasinos;RCC797;KT860936;Yes;Cryopreserved
Ostreococcus_lucimarinus;RCC798;KT860898;Yes;Distributed
Bathycoccus_prasinos;RCC801;KT860937;Yes;Cryopreserved
Micromonas_pusilla;RCC803;KU244659;Yes;Distributed
Micromonas_pusilla;RCC804;KU244661;No;NotDistributed
Micromonas_pusilla;RCC805;KU244663;No;NotDistributed
Micromonas_pusilla;RCC806;KU244665;Yes;Distributed
Micromonas_polaris;RCC807;KU244667;Yes;Distributed
