"";"Species";"RCC";"Genbank_accession";"Keep";"Status"
"1";"Micromonas_pusilla";"RCC114";"AY425320";"Yes";"Distributed"
"2";"Micromonas_pusilla";"RCC114";"KU244630";"Yes";"Distributed"
"3";"Ostreococcus_tauri";"RCC116";"Y15814";"No";"Cryopreserved"
"4";"Ostreococcus_clade_B";"RCC141";"KT878663";"No";"Lost"
"5";"Ostreococcus_clade_B";"RCC143";"AY425310";"No";"Lost"
"6";"Ostreococcus_lucimarinus";"RCC343";"KT860633";"Yes";"Cryopreserved"
"7";"Ostreococcus_lucimarinus";"RCC371";"KT860634";"No";"Lost"
"8";"Micromonas_commoda";"RCC372";"KT860635";"Yes";"Distributed"
"9";"Micromonas_commoda";"RCC372";"KU244634";"Yes";"Distributed"
"10";"Micromonas_pusilla";"RCC373";"KF501025";"Yes";"Distributed"
"11";"Micromonas_pusilla";"RCC373";"KF501014";"Yes";"Distributed"
"12";"Throndsenia_aranea_nom_nud";"RCC391";"AY425321";"Yes";"Distributed"
"13";"Ostreococcus_clade_B";"RCC393";"AY425311";"No";"Lost"
"14";"Mantionella_squamata";"RCC395";"KT860636";"Yes";"Distributed"
"15";"Ostreococcus_clade_B";"RCC410";"KT860680";"Yes";"Distributed"
"16";"Micromonas_bravo";"RCC418";"KF501026";"Yes";"Distributed"
"17";"Micromonas_bravo";"RCC418";"KF501015";"Yes";"Distributed"
"18";"Ostreococcus_lucimarinus";"RCC420";"KT878674";"No";"Lost"
"19";"Ostreococcus_sp";"RCC422";"KT860646";"Yes";"Cryopreserved"
"20";"Ostreococcus_sp";"RCC426";"KT860647";"Yes";"Cryopreserved"
"21";"Ostreococcus_sp";"RCC427";"KT860648";"Yes";"Cryopreserved"
"22";"Ostreococcus_sp";"RCC428";"KT878675";"No";"Lost"
"23";"Ostreococcus_sp";"RCC429";"KT860644";"Yes";"Cryopreserved"
"24";"Micromonas_bravo";"RCC434";"AY425316";"Yes";"Distributed"
"25";"Micromonas_bravo";"RCC434";"KR089060";"Yes";"Distributed"
"26";"Micromonas_bravo";"RCC434";"KU244636";"Yes";"Distributed"
"27";"Micromonas_pusilla";"RCC447";"KT860650";"Yes";"Distributed"
"28";"Micromonas_commoda";"RCC447";"KU244638";"Yes";"Distributed"
"29";"Micromonas_commoda";"RCC448";"KT860645";"Yes";"Distributed"
"30";"Micromonas_commoda";"RCC449";"KT860641";"Yes";"Distributed"
"31";"Micromonas_commoda";"RCC449";"KU244641";"Yes";"Distributed"
"32";"Micromonas_commoda";"RCC450";"KU244643";"Yes";"Distributed"
"33";"Micromonas_commoda";"RCC451";"KF501035";"Yes";"Distributed"
"34";"Micromonas_commoda";"RCC451";"KF501024";"Yes";"Distributed"
"35";"Ostreococcus_sp";"RCC453";"KT860656";"Yes";"Cryopreserved"
"36";"Ostreococcus_sp";"RCC454";"KT860657";"Yes";"Cryopreserved"
"37";"Micromonas_pusilla";"RCC461";"KF501027";"No";"Lost"
"38";"Micromonas_pusilla";"RCC461";"KF501016";"No";"Lost"
"39";"Ostreococcus_sp";"RCC462";"KT878676";"No";"Lost"
"40";"Bathycoccus_prasinos";"RCC463";"KT860652";"Yes";"Cryopreserved"
