"";"Grouping";"species";"labelit";"rank";"abundance";"proportion";"plower";"pupper";"accumfreq";"logabun";"rankfreq"
"1";"Cha";"ASV_1_Ostreococcus_lucimarinus";TRUE;1;10017;9,7;3,7;15,8;9,7;4;0,6
"2";"Cha";"ASV_18_Rhizosolenia_delicatula";TRUE;2;8010;7,8;-1,9;17,5;17,5;3,9;1,3
"3";"Cha";"ASV_2_Ostreococcus_lucimarinus";TRUE;3;7719;7,5;3;12;25;3,9;1,9
"4";"Cha";"ASV_4_Ostreococcus_lucimarinus";TRUE;4;7211;7;2,8;11,2;32;3,9;2,5
"5";"Cha";"ASV_28_Rhizosolenia_delicatula";TRUE;5;5692;5,5;-1,4;12,4;37,5;3,8;3,2
"6";"Cha";"ASV_38_Phaeocystis_globosa";TRUE;6;2890;2,8;-1,4;7;40,3;3,5;3,8
"7";"Cha";"ASV_40_Pelagomonas_calceolata";TRUE;7;2628;2,6;0,8;4,3;42,9;3,4;4,4
"8";"Cha";"ASV_10_Bathycoccus_prasinos";TRUE;8;2347;2,3;0,9;3,7;45,1;3,4;5,1
"9";"Cha";"ASV_49_Phaeocystis_globosa";TRUE;9;2205;2,1;-1,1;5,3;47,3;3,3;5,7
"10";"Cha";"ASV_58_Phaeocystis_globosa";TRUE;10;2169;2,1;-1;5,2;49,4;3,3;6,3
"11";"Cha";"ASV_53_Pelagomonas_calceolata";FALSE;11;2014;2;0,7;3,2;51,3;3,3;7
"12";"Cha";"ASV_13_Bathycoccus_prasinos";FALSE;12;1978;1,9;0,7;3,1;53,3;3,3;7,6
"13";"Cha";"ASV_82_Pelagomonadales_clade_B1_sp.";FALSE;13;1915;1,9;0,2;3,5;55,1;3,3;8,2
"14";"Cha";"ASV_65_Chloroparvula_pacifica";FALSE;14;1907;1,9;0,2;3,5;57;3,3;8,9
"15";"Cha";"ASV_62_Pelagomonas_calceolata";FALSE;15;1892;1,8;0,5;3,1;58,8;3,3;9,5
"16";"Cha";"ASV_71_Chaetoceros_debilis";FALSE;16;1834;1,8;-0,8;4,4;60,6;3,3;10,1
"17";"Cha";"ASV_14_Bathycoccus_prasinos";FALSE;17;1783;1,7;0,7;2,7;62,3;3,3;10,8
"18";"Cha";"ASV_78_Chloroparvula_pacifica";FALSE;18;1609;1,6;0,3;2,8;63,9;3,2;11,4
"19";"Cha";"ASV_29_Chloroparvula_pacifica";FALSE;19;1529;1,5;0,6;2,3;65,4;3,2;12
"20";"Cha";"ASV_86_Chloroparvula_pacifica";FALSE;20;1447;1,4;0,1;2,7;66,8;3,2;12,7
"21";"Cha";"ASV_106_Pelagomonadales_clade_B1_sp.";FALSE;21;1442;1,4;0,1;2,7;68,2;3,2;13,3
"22";"Cha";"ASV_144_Chaetoceros_tenuissimus";FALSE;22;1437;1,4;-0,4;3,2;69,6;3,2;13,9
"23";"Cha";"ASV_60_Pycnococcaceae_X_sp.";FALSE;23;1437;1,4;-0,1;2,8;70,9;3,2;14,6
"24";"Cha";"ASV_116_Pelagomonadales_clade_B1_sp.";FALSE;24;1378;1,3;0,2;2,5;72,3;3,1;15,2
"25";"Cha";"ASV_15_Micromonas_bravo_B1";FALSE;25;1217;1,2;0,3;2;73,5;3,1;15,8
"26";"Cha";"ASV_56_Chloroparvula_pacifica";FALSE;26;1109;1,1;0,4;1,8;74,5;3;16,5
"27";"Cha";"ASV_48_Chloroparvula_pacifica";FALSE;27;1091;1,1;0,4;1,7;75,6;3;17,1
"28";"Cha";"ASV_84_Pycnococcaceae_X_sp.";FALSE;28;1068;1;-0,2;2,2;76,6;3;17,7
"29";"Cha";"ASV_94_Pycnococcaceae_X_sp.";FALSE;29;945;0,9;-0,1;2;77,6;3;18,4
"30";"Cha";"ASV_26_Micromonas_bravo_B1";FALSE;30;926;0,9;0,3;1,5;78,5;3;19
"31";"Cha";"ASV_157_Pelagomonadales_clade_B1_sp.";FALSE;31;924;0,9;0,1;1,7;79,3;3;19,6
"32";"Cha";"ASV_23_Micromonas_bravo_B1";FALSE;32;913;0,9;0,3;1,5;80,2;3;20,3
"33";"Cha";"ASV_66_Teleaulax_gracilis";FALSE;33;794;0,8;0,5;1,1;81;2,9;20,9
"34";"Cha";"ASV_31_Plagioselmis_prolonga";FALSE;34;717;0,7;0,3;1,1;81,7;2,9;21,5
"35";"Cha";"ASV_140_Pycnococcaceae_X_sp.";FALSE;35;709;0,7;0;1,3;82,4;2,9;22,2
"36";"Cha";"ASV_152_Aureococcus_anophagefferens";FALSE;36;686;0,7;0,2;1,2;83,1;2,8;22,8
"37";"Cha";"ASV_21_Micromonas_commoda_A2";FALSE;37;684;0,7;0,1;1,2;83,7;2,8;23,4
"38";"Cha";"ASV_83_Teleaulax_sp.";FALSE;38;601;0,6;0,3;0,9;84,3;2,8;24,1
"39";"Cha";"ASV_193_Aureococcus_anophagefferens";FALSE;39;581;0,6;0,1;1,1;84,9;2,8;24,7
"40";"Cha";"ASV_89_Teleaulax_gracilis";FALSE;40;526;0,5;0,3;0,7;85,4;2,7;25,3
"41";"Cha";"ASV_218_Guinardia_delicatula";FALSE;41;522;0,5;-0,1;1,1;85,9;2,7;25,9
"42";"Cha";"ASV_205_Aureococcus_anophagefferens";FALSE;42;508;0,5;0,1;0,9;86,4;2,7;26,6
"43";"Cha";"ASV_112_Teleaulax_sp.";FALSE;43;480;0,5;0,2;0,7;86,8;2,7;27,2
"44";"Cha";"ASV_118_Teleaulax_sp.";FALSE;44;473;0,5;0,2;0,7;87,3;2,7;27,8
"45";"Cha";"ASV_99_Teleaulax_gracilis";FALSE;45;469;0,5;0,3;0,6;87,8;2,7;28,5
"46";"Cha";"ASV_37_Micromonas_commoda_A2";FALSE;46;467;0,5;0,1;0,8;88,2;2,7;29,1
"47";"Cha";"ASV_50_Plagioselmis_prolonga";FALSE;47;464;0,5;0,2;0,7;88,7;2,7;29,7
"48";"Cha";"ASV_382_Chloroparvula_pacifica";FALSE;48;464;0,5;0;0,9;89,1;2,7;30,4
"49";"Cha";"ASV_33_Micromonas_commoda_A2";FALSE;49;454;0,4;0,1;0,8;89,5;2,7;31
"50";"Cha";"ASV_131_Thalassiosira_tenera";FALSE;50;447;0,4;-0,1;0,9;90;2,7;31,6
"51";"Cha";"ASV_44_Plagioselmis_prolonga";FALSE;51;434;0,4;0,1;0,7;90,4;2,6;32,3
"52";"Cha";"ASV_274_Guinardia_delicatula";FALSE;52;416;0,4;-0,1;0,9;90,8;2,6;32,9
"53";"Cha";"ASV_167_Katablepharidales_XX_sp.";FALSE;53;389;0,4;0;0,7;91,2;2,6;33,5
"54";"Cha";"ASV_35_Ostreococcus_lucimarinus";FALSE;54;383;0,4;0,1;0,6;91,6;2,6;34,2
"55";"Cha";"ASV_501_Chloroparvula_pacifica";FALSE;55;366;0,4;0;0,7;91,9;2,6;34,8
"56";"Cha";"ASV_499_Chloroparvula_pacifica";FALSE;56;347;0,3;0;0,6;92,2;2,5;35,4
"57";"Cha";"ASV_52_Ostreococcus_lucimarinus";FALSE;57;319;0,3;0,1;0,5;92,6;2,5;36,1
"58";"Cha";"ASV_298_Aureococcus_anophagefferens";FALSE;58;312;0,3;0;0,6;92,9;2,5;36,7
"59";"Cha";"ASV_323_Chrysochromulina_sp.";FALSE;59;290;0,3;0,1;0,5;93,1;2,5;37,3
"60";"Cha";"ASV_30_Picochlorum_sp.";FALSE;60;285;0,3;0,1;0,5;93,4;2,5;38
"61";"Cha";"ASV_192_Chloroparvula_pacifica";FALSE;61;274;0,3;0,1;0,4;93,7;2,4;38,6
"62";"Cha";"ASV_455_Haptolina_sp.";FALSE;62;258;0,3;0,1;0,4;93,9;2,4;39,2
"63";"Cha";"ASV_77_Minutocellus_polymorphus";FALSE;63;257;0,2;0;0,5;94,2;2,4;39,9
"64";"Cha";"ASV_63_Ostreococcus_lucimarinus";FALSE;64;240;0,2;0,1;0,4;94,4;2,4;40,5
"65";"Cha";"ASV_502_Pelagomonadaceae_clade_D1_sp.";FALSE;65;232;0,2;0;0,4;94,6;2,4;41,1
"66";"Cha";"ASV_690_Chloroparvula_pacifica";FALSE;66;228;0,2;0;0,4;94,9;2,4;41,8
"67";"Cha";"ASV_252_Chloroparvula_pacifica";FALSE;67;216;0,2;0,1;0,3;95,1;2,3;42,4
"68";"Cha";"ASV_353_Chrysochromulina_sp.";FALSE;68;196;0,2;0;0,4;95,3;2,3;43
"69";"Cha";"ASV_593_Non_Assigned";FALSE;69;196;0,2;0;0,4;95,5;2,3;43,7
"70";"Cha";"ASV_537_Hemiselmis_sp._nucl";FALSE;70;194;0,2;-0,1;0,5;95,6;2,3;44,3
"71";"Cha";"ASV_314_Chrysophyceae_Clade-H_X_sp.";FALSE;71;190;0,2;0;0,3;95,8;2,3;44,9
"72";"Cha";"ASV_633_Pelagomonadaceae_clade_D1_sp.";FALSE;72;190;0,2;0;0,3;96;2,3;45,6
"73";"Cha";"ASV_300_Chloroparvula_pacifica";FALSE;73;188;0,2;0,1;0,3;96,2;2,3;46,2
"74";"Cha";"ASV_446_Cylindrotheca_closterium";FALSE;74;173;0,2;0;0,4;96,4;2,2;46,8
"75";"Cha";"ASV_181_Chloropicon_laureae";FALSE;75;167;0,2;0,1;0,3;96,5;2,2;47,5
"76";"Cha";"ASV_235_Crustomastigaceae_X_sp.";FALSE;76;165;0,2;0;0,4;96,7;2,2;48,1
"77";"Cha";"ASV_452_Chloroparvula_pacifica";FALSE;77;133;0,1;0;0,2;96,8;2,1;48,7
"78";"Cha";"ASV_597_Chloropicon_sieburthii";FALSE;78;128;0,1;0;0,2;96,9;2,1;49,4
"79";"Cha";"ASV_59_Picochlorum_sp.";FALSE;79;121;0,1;0;0,3;97,1;2,1;50
"80";"Cha";"ASV_835_Pelagomonas_calceolata";FALSE;80;120;0,1;0;0,2;97,2;2,1;50,6
"81";"Cha";"ASV_255_Katablepharidales_XX_sp.";FALSE;81;116;0,1;-0,1;0,3;97,3;2,1;51,3
"82";"Cha";"ASV_668_Pelagomonadaceae_clade_C_sp.";FALSE;82;114;0,1;0;0,2;97,4;2,1;51,9
"83";"Cha";"ASV_606_Chrysochromulina_sp.";FALSE;83;110;0,1;0;0,2;97,5;2;52,5
"84";"Cha";"ASV_404_Chloroparvula_pacifica";FALSE;84;105;0,1;0;0,2;97,6;2;53,2
"85";"Cha";"ASV_642_Florenciella_parvula";FALSE;85;98;0,1;0;0,2;97,7;2;53,8
"86";"Cha";"ASV_535_Chrysophyceae_Clade-H_X_sp.";FALSE;86;94;0,1;0;0,2;97,8;2;54,4
"87";"Cha";"ASV_969_Thalassiosira_rotula";FALSE;87;93;0,1;0;0,2;97,9;2;55,1
"88";"Cha";"ASV_1091_Pelagomonas_calceolata";FALSE;88;93;0,1;0;0,2;98;2;55,7
"89";"Cha";"ASV_276_Katablepharidales_XX_sp.";FALSE;89;92;0,1;-0,1;0,3;98,1;2;56,3
"90";"Cha";"ASV_412_Paraphysomonas_imperforata";FALSE;90;90;0,1;0;0,2;98,1;2;57
"91";"Cha";"ASV_510_Chloroparvula_pacifica";FALSE;91;90;0,1;0;0,2;98,2;2;57,6
"92";"Cha";"ASV_576_Parmales_env_3A_sp.";FALSE;92;89;0,1;-0,1;0,3;98,3;1,9;58,2
"93";"Cha";"ASV_1231_Florenciella_parvula";FALSE;93;81;0,1;0;0,2;98,4;1,9;58,9
"94";"Cha";"ASV_1004_Pelagomonadaceae_clade_C_sp.";FALSE;94;77;0,1;0;0,2;98,5;1,9;59,5
"95";"Cha";"ASV_1092_Pelagomonas_calceolata";FALSE;95;76;0,1;0;0,1;98,5;1,9;60,1
"96";"Cha";"ASV_725_Chrysophyceae_Clade-H_X_sp.";FALSE;96;70;0,1;0;0,1;98,6;1,8;60,8
"97";"Cha";"ASV_471_Chrysophyceae_Clade-H_X_sp.";FALSE;97;68;0,1;0;0,1;98,7;1,8;61,4
"98";"Cha";"ASV_413_Leucocryptos_marina";FALSE;98;66;0,1;0;0,1;98,7;1,8;62
"99";"Cha";"ASV_539_Leucocryptos_marina";FALSE;99;65;0,1;0;0,1;98,8;1,8;62,7
"100";"Cha";"ASV_1166_Non_Assigned";FALSE;100;62;0,1;0;0,1;98,9;1,8;63,3
"101";"Cha";"ASV_359_Ostreococcus_lucimarinus";FALSE;101;61;0,1;-0,1;0,2;98,9;1,8;63,9
"102";"Cha";"ASV_1403_Pelagomonas_calceolata";FALSE;102;61;0,1;0;0,1;99;1,8;64,6
"103";"Cha";"ASV_834_Chrysochromulina_sp.";FALSE;103;59;0,1;-0,1;0,2;99;1,8;65,2
"104";"Cha";"ASV_1164_Pelagomonadaceae_clade_C_sp.";FALSE;104;55;0,1;0;0,1;99,1;1,7;65,8
"105";"Cha";"ASV_722_Chloroparvula_pacifica";FALSE;105;48;0;0;0,1;99,1;1,7;66,5
"106";"Cha";"ASV_1347_Pelagomonadaceae_clade_C_sp.";FALSE;106;47;0;0;0,1;99,2;1,7;67,1
"107";"Cha";"ASV_443_Chlorodendrales_XX_sp.";FALSE;107;47;0;-0,1;0,1;99,2;1,7;67,7
"108";"Cha";"ASV_783_Leucocryptos_marina";FALSE;108;47;0;0;0,1;99,3;1,7;68,4
"109";"Cha";"ASV_806_Hemiselmis_sp._nucl";FALSE;109;46;0;-0,1;0,1;99,3;1,7;69
"110";"Cha";"ASV_985_Non_Assigned";FALSE;110;45;0;0;0,1;99,4;1,7;69,6
"111";"Cha";"ASV_51_Picochlorum_sp.";FALSE;111;42;0;-0,1;0,1;99,4;1,6;70,3
"112";"Cha";"ASV_1054_Hemiselmis_sp._nucl";FALSE;112;38;0;0;0,1;99,4;1,6;70,9
"113";"Cha";"ASV_465_Parmales_env_3B_sp.";FALSE;113;37;0;0;0,1;99,5;1,6;71,5
"114";"Cha";"ASV_1171_Non_Assigned";FALSE;114;36;0;0;0,1;99,5;1,6;72,2
