;Grouping;species;labelit;rank;abundance;proportion;plower;pupper;accumfreq;logabun;rankfreq
1;Cha;ASV_1 O. lucimarinus;TRUE;1;10017;9,7;3,7;15,8;9,7;4;0,6
2;Cha;ASV_18 R. delicatula;TRUE;2;8010;7,8;-1,9;17,5;17,5;3,9;1,3
3;Cha;ASV_2 O. lucimarinus;TRUE;3;7719;7,5;3;12;25;3,9;1,9
4;Cha;ASV_4 O. lucimarinus;TRUE;4;7211;7;2,8;11,2;32;3,9;2,5
5;Cha;ASV_28 R. delicatula;TRUE;5;5692;5,5;-1,4;12,4;37,5;3,8;3,2
6;Cha;ASV_38 P. globosa;TRUE;6;2890;2,8;-1,4;7;40,3;3,5;3,8
7;Cha;ASV_40 P. calceolata;TRUE;7;2628;2,6;0,8;4,3;42,9;3,4;4,4
8;Cha;ASV_10 B. prasinos;TRUE;8;2347;2,3;0,9;3,7;45,1;3,4;5,1
9;Cha;ASV_49 P. globosa;TRUE;9;2205;2,1;-1,1;5,3;47,3;3,3;5,7
10;Cha;ASV_58 P.globosa;TRUE;10;2169;2,1;-1;5,2;49,4;3,3;6,3
11;Cha;ASV_53 P. calceolata;FALSE;11;2014;2;0,7;3,2;51,3;3,3;7
12;Cha;ASV_13 B. prasinos;FALSE;12;1978;1,9;0,7;3,1;53,3;3,3;7,6
13;Cha;ASV_82 Pelagomonadales clade B1 sp.;FALSE;13;1915;1,9;0,2;3,5;55,1;3,3;8,2
14;Cha;ASV_65_Chloroparvula_pacifica;FALSE;14;1907;1,9;0,2;3,5;57;3,3;8,9
15;Cha;ASV_62_Pelagomonas_calceolata;FALSE;15;1892;1,8;0,5;3,1;58,8;3,3;9,5
16;Cha;ASV_71_Chaetoceros_debilis;FALSE;16;1834;1,8;-0,8;4,4;60,6;3,3;10,1
17;Cha;ASV_14_Bathycoccus_prasinos;FALSE;17;1783;1,7;0,7;2,7;62,3;3,3;10,8
18;Cha;ASV_78_Chloroparvula_pacifica;FALSE;18;1609;1,6;0,3;2,8;63,9;3,2;11,4
19;Cha;ASV_29_Chloroparvula_pacifica;FALSE;19;1529;1,5;0,6;2,3;65,4;3,2;12
20;Cha;ASV_86_Chloroparvula_pacifica;FALSE;20;1447;1,4;0,1;2,7;66,8;3,2;12,7
21;Cha;ASV_106_Pelagomonadales_clade_B1_sp.;FALSE;21;1442;1,4;0,1;2,7;68,2;3,2;13,3
31;Fla;ASV_1 O. lucimarinus;TRUE;1;14990;15,1;9,4;20,7;15,1;4,2;0,6
32;Fla;ASV_2 O. lucimarinus;TRUE;2;11447;11,5;7,3;15,6;26,5;4,1;1,3
33;Fla;ASV_4 O. lucimarinus;TRUE;3;10572;10,6;6,8;14,4;37,2;4;1,9
34;Fla;ASV_30 Picochlorum sp.;TRUE;4;2819;2,8;0,3;5,4;40;3,5;2,5
35;Fla;ASV_29 C. pacifica;TRUE;5;2576;2,6;0,6;4,6;42,6;3,4;3,2
36;Fla;ASV_10 B. prasinos;TRUE;6;2460;2,5;1,6;3,3;45,1;3,4;3,8
37;Fla;ASV_31 P. prolonga;TRUE;7;2285;2,3;1,1;3,5;47,3;3,4;4,4
38;Fla;ASV_51 Picochlorum sp.;TRUE;8;2095;2,1;0,3;3,9;49,5;3,3;5,1
39;Fla;ASV_59 Picochlorum sp.;TRUE;9;1943;2;0,3;3,6;51,4;3,3;5,7
40;Fla;ASV_13 B. prasinos;TRUE;10;1861;1,9;1,2;2,5;53,3;3,3;6,3
41;Fla;ASV_48_Chloroparvula_pacifica;FALSE;11;1858;1,9;0,4;3,3;55,1;3,3;7
42;Fla;ASV_56_Chloroparvula_pacifica;FALSE;12;1817;1,8;0,3;3,3;57;3,3;7,6
43;Fla;ASV_14_Bathycoccus_prasinos;FALSE;13;1792;1,8;1,2;2,4;58,8;3,3;8,2
44;Fla;ASV_15_Micromonas_bravo_B1;FALSE;14;1769;1,8;0,1;3,4;60,5;3,2;8,9
45;Fla;ASV_44_Plagioselmis_prolonga;FALSE;15;1761;1,8;0,8;2,7;62,3;3,2;9,5
46;Fla;ASV_50_Plagioselmis_prolonga;FALSE;16;1679;1,7;0,7;2,6;64;3,2;10,1
47;Fla;ASV_66_Teleaulax_gracilis;FALSE;17;1660;1,7;0,2;3,1;65,7;3,2;10,8
48;Fla;ASV_71_Chaetoceros_debilis;FALSE;18;1592;1,6;-0,9;4,1;67,3;3,2;11,4
49;Fla;ASV_60_Pycnococcaceae_X_sp.;FALSE;19;1584;1,6;0,6;2,6;68,8;3,2;12
50;Fla;ASV_23_Micromonas_bravo_B1;FALSE;20;1396;1,4;0,1;2,7;70,2;3,1;12,7
51;Fla;ASV_89_Teleaulax_gracilis;FALSE;21;1255;1,3;0;2,5;71,5;3,1;13,3
61;Hu;ASV_1 O. lucimarinus;TRUE;1;80511;28,9;27,2;30,6;28,9;4,9;0,6
62;Hu;ASV_2 O. lucimarinus;TRUE;2;60783;21,8;20,6;23,1;50,7;4,8;1,3
63;Hu;ASV_4 O. lucimarinus;TRUE;3;56499;20,3;19;21,5;71;4,8;1,9
64;Hu;ASV_10 B. prasinos;TRUE;4;5535;2;1,4;2,6;73;3,7;2,5
65;Hu;ASV_15 M. bravo B1;TRUE;5;4342;1,6;0,9;2,2;74,6;3,6;3,2
66;Hu;ASV_21 M. commoda A2;TRUE;6;4337;1,6;1,2;1,9;76,1;3,6;3,8
67;Hu;ASV_13 B. prasinos;TRUE;7;4214;1,5;1,1;1,9;77,7;3,6;4,4
68;Hu;ASV_14 B. prasinos;TRUE;8;4012;1,4;1;1,8;79,1;3,6;5,1
69;Hu;ASV_35 O. lucimarinus;TRUE;9;3632;1,3;1,2;1,4;80,4;3,6;5,7
70;Hu;ASV_23 M. bravo B1;TRUE;10;3309;1,2;0,7;1,7;81,6;3,5;6,3
71;Hu;ASV_33_Micromonas_commoda_A2;FALSE;11;3218;1,2;0,9;1,4;82,7;3,5;7
72;Hu;ASV_37_Micromonas_commoda_A2;FALSE;12;3104;1,1;0,8;1,4;83,9;3,5;7,6
73;Hu;ASV_26_Micromonas_bravo_B1;FALSE;13;3016;1,1;0,6;1,6;84,9;3,5;8,2
74;Hu;ASV_52_Ostreococcus_lucimarinus;FALSE;14;2827;1;0,9;1,1;86;3,5;8,9
75;Hu;ASV_63_Ostreococcus_lucimarinus;FALSE;15;2569;0,9;0,8;1;86,9;3,4;9,5
76;Hu;ASV_31_Plagioselmis_prolonga;FALSE;16;2135;0,8;0,6;1;87,7;3,3;10,1
77;Hu;ASV_38_Phaeocystis_globosa;FALSE;17;1703;0,6;0;1,2;88,3;3,2;10,8
78;Hu;ASV_44_Plagioselmis_prolonga;FALSE;18;1651;0,6;0,4;0,7;88,9;3,2;11,4
79;Hu;ASV_50_Plagioselmis_prolonga;FALSE;19;1541;0,6;0,4;0,7;89,4;3,2;12
80;Hu;ASV_40_Pelagomonas_calceolata;FALSE;20;1457;0,5;0,2;0,9;89,9;3,2;12,7
81;Hu;ASV_49_Phaeocystis_globosa;FALSE;21;1390;0,5;0;0,9;90,4;3,1;13,3
91;Pc;ASV_1 O. lucimarinus;TRUE;1;15324;17,4;13,6;21,1;17,4;4,2;0,6
92;Pc;ASV_2 O. lucimarinus;TRUE;2;11934;13,5;10,7;16,4;30,9;4,1;1,3
93;Pc;ASV_4 O. lucimarinus;TRUE;3;10798;12,2;9,6;14,8;43,1;4;1,9
94;Pc;ASV_10 B. prasinos;TRUE;4;2917;3,3;2,5;4,2;46,4;3,5;2,5
95;Pc;ASV_13 B. prasinos;TRUE;5;2358;2,7;1,8;3,5;49,1;3,4;3,2
96;Pc;ASV_77 M. polymorphus;TRUE;6;2345;2,7;1,1;4,2;51,8;3,4;3,8
97;Pc;ASV_14 B. prasinos;TRUE;7;2139;2,4;1,8;3,1;54,2;3,3;4,4
98;Pc;ASV_30 Picochlorum sp.;TRUE;8;2104;2,4;1,1;3,7;56,6;3,3;5,1
99;Pc;ASV_15 M. bravo B1;TRUE;9;2082;2,4;1,6;3,1;58,9;3,3;5,7
100;Pc;ASV_126 D. pumila;TRUE;10;1913;2,2;-4,7;9,1;61,1;3,3;6,3
101;Pc;ASV_109_Non_Assigned;FALSE;11;1775;2;1;3;63,1;3,2;7
102;Pc;ASV_51_Picochlorum_sp.;FALSE;12;1774;2;1;3;65,1;3,2;7,6
103;Pc;ASV_115_Minutocellus_polymorphus;FALSE;13;1713;1,9;1,1;2,8;67,1;3,2;8,2
104;Pc;ASV_59_Picochlorum_sp.;FALSE;14;1610;1,8;0,9;2,7;68,9;3,2;8,9
105;Pc;ASV_23_Micromonas_bravo_B1;FALSE;15;1601;1,8;1,2;2,4;70,7;3,2;9,5
106;Pc;ASV_21_Micromonas_commoda_A2;FALSE;16;1561;1,8;1,4;2,1;72,5;3,2;10,1
107;Pc;ASV_26_Micromonas_bravo_B1;FALSE;17;1512;1,7;1,1;2,3;74,2;3,2;10,8
108;Pc;ASV_33_Micromonas_commoda_A2;FALSE;18;1237;1,4;1;1,8;75,6;3,1;11,4
109;Pc;ASV_131_Thalassiosira_tenera;FALSE;19;1114;1,3;-2,8;5,3;76,8;3;12
110;Pc;ASV_37_Micromonas_commoda_A2;FALSE;20;1043;1,2;0,8;1,6;78;3;12,7
111;Pc;ASV_31_Plagioselmis_prolonga;FALSE;21;968;1,1;0,4;1,8;79,1;3;13,3
