;Grouping;species;labelit;rank;abundance;proportion;plower;pupper;accumfreq;logabun;rankfreq
1;Cha;ASV_38 P. globosa;TRUE;1;2890;35;28;42;35;3,5;7,1
2;Cha;ASV_49 P. globosa;TRUE;2;2205;26,7;21,1;32,3;61,7;3,3;14,3
3;Cha;ASV_58 P. globosa;TRUE;3;2169;26,3;21,1;31,4;88;3,3;21,4
4;Cha;ASV_323 Chrysochromulina sp.;TRUE;4;290;3,5;-1,9;9;91,5;2,5;28,6
5;Cha;ASV_455 Haptolina sp.;TRUE;5;258;3,1;-1,8;8;94,6;2,4;35,7
6;Cha;ASV_353 Chrysochromulina sp.;TRUE;6;196;2,4;-1,5;6,3;97;2,3;42,9
7;Cha;ASV_606 Chrysochromulina sp.;TRUE;7;110;1,3;-1;3,7;98,4;2;50
8;Cha;ASV_834 Chrysochromulina sp.;TRUE;8;59;0,7;-1,1;2,5;99,1;1,8;57,1
9;Cha;ASV_1254 Prymnesiophyceae Clade D XX sp.;TRUE;9;25;0,3;-0,5;1,1;99,4;1,4;64,3
10;Cha;ASV_1241 Chrysochromulina sp.;TRUE;10;21;0,3;-0,3;0,8;99,6;1,3;71,4
11;Cha;ASV_1694_Chrysochromulina_sp.;FALSE;11;14;0,2;-0,3;0,6;99,8;1,1;78,6
12;Cha;ASV_872_Chrysochromulina_sp.;FALSE;12;9;0,1;-0,1;0,3;99,9;1;85,7
13;Cha;ASV_1317_Chrysochromulina_sp.;FALSE;13;6;0,1;-0,1;0,3;100;0,8;92,9
14;Cha;ASV_1405_Chrysochromulina_sp.;FALSE;14;2;0;0;0,1;100;0,3;100
15;Fla;ASV_49 P. globosa;TRUE;1;757;29;22,1;35,9;29;2,9;7,1
16;Fla;ASV_38 P. globosa;TRUE;2;686;26,3;17,5;35,1;55,2;2,8;14,3
17;Fla;ASV_58 P. globosa;TRUE;3;523;20;13,6;26,4;75,3;2,7;21,4
18;Fla;ASV_353 Chrysochromulina sp.;TRUE;4;203;7,8;3,5;12;83;2,3;28,6
19;Fla;ASV_323 Chrysochromulina sp.;TRUE;5;165;6,3;0,8;11,8;89,4;2,2;35,7
20;Fla;ASV_455 Haptolina sp.;TRUE;6;53;2;0,2;3,9;91,4;1,7;42,9
21;Fla;ASV_1317 Chrysochromulina sp.;TRUE;7;47;1,8;-1,9;5,5;93,2;1,7;50
22;Fla;ASV_1241 Chrysochromulina sp.;TRUE;8;40;1,5;-0,9;4;94,7;1,6;57,1
23;Fla;ASV_834 Chrysochromulina sp.;TRUE;9;38;1,5;0,4;2,5;96,2;1,6;64,3
24;Fla;ASV_1694 Chrysochromulina sp.;TRUE;10;36;1,4;-1,1;3,9;97,5;1,6;71,4
25;Fla;ASV_872_Chrysochromulina_sp.;FALSE;11;22;0,8;-0,8;2,5;98,4;1,3;78,6
26;Fla;ASV_606_Chrysochromulina_sp.;FALSE;12;18;0,7;-0,9;2,3;99,1;1,3;85,7
27;Fla;ASV_1405_Chrysochromulina_sp.;FALSE;13;14;0,5;-0,1;1,2;99,6;1,1;92,9
28;Fla;ASV_1254_Prymnesiophyceae_Clade_D_XX_sp.;FALSE;14;10;0,4;-0,6;1,3;100;1;100
29;Hu;ASV_38 P. globosa;TRUE;1;1703;31,8;24,6;39;31,8;3,2;7,1
30;Hu;ASV_49 P. globosa;TRUE;2;1390;26;21,9;30,1;57,8;3,1;14,3
31;Hu;ASV_58 P. globosa;TRUE;3;1267;23,7;19,1;28,3;81,5;3,1;21,4
32;Hu;ASV_353 Chrysochromulina sp.;TRUE;4;196;3,7;0,6;6,7;85,1;2,3;28,6
33;Hu;ASV_323 Chrysochromulina sp.;TRUE;5;192;3,6;-1,1;8,3;88,7;2,3;35,7
34;Hu;ASV_455 Haptolina sp.;TRUE;6;128;2,4;-0,2;5;91,1;2,1;42,9
35;Hu;ASV_872 Chrysochromulina sp.;TRUE;7;118;2,2;-0,3;4,7;93,3;2,1;50
36;Hu;ASV_606 Chrysochromulina sp.;TRUE;8;99;1,8;0;3,7;95,2;2;57,1
37;Hu;ASV_834 Chrysochromulina sp.;TRUE;9;76;1,4;-0,3;3,1;96,6;1,9;64,3
38;Hu;ASV_1254 Prymnesiophyceae Clade D XX sp.;TRUE;10;57;1,1;-0,6;2,8;97,6;1,8;71,4
39;Hu;ASV_1405_Chrysochromulina_sp.;FALSE;11;51;1;0,1;1,8;98,6;1,7;78,6
40;Hu;ASV_1317_Chrysochromulina_sp.;FALSE;12;33;0,6;0,3;1;99,2;1,5;85,7
41;Hu;ASV_1241_Chrysochromulina_sp.;FALSE;13;29;0,5;-0,1;1,2;99,8;1,5;92,9
42;Hu;ASV_1694_Chrysochromulina_sp.;FALSE;14;13;0,2;-0,2;0,7;100;1,1;100
43;Pc;ASV_38 P. globosa;TRUE;1;135;22,6;-2,5;47,7;22,6;2,1;7,1
44;Pc;ASV_58 P. globosa;TRUE;2;118;19,7;-15,5;55;42,3;2,1;14,3
45;Pc;ASV_606 Chrysochromulina sp.;TRUE;3;83;13,9;-2,4;30,2;56,2;1,9;21,4
46;Pc;ASV_323 Chrysochromulina sp.;TRUE;4;77;12,9;-15,4;41,1;69,1;1,9;28,6
