;Grouping;species;labelit;rank;abundance;proportion;plower;pupper;accumfreq;logabun;rankfreq
1;Cha;ASV_40 P. calceolata;TRUE;1;2628;16,1;NA;NA;16,1;3,4;2,8
2;Cha;ASV_53 P. calceolata;TRUE;2;2014;12,3;NA;NA;28,4;3,3;5,6
3;Cha;ASV_82 Pelagomonadales clade B1 sp.;TRUE;3;1915;11,7;NA;NA;40,2;3,3;8,3
4;Cha;ASV_62 P. calceolata;TRUE;4;1892;11,6;NA;NA;51,7;3,3;11,1
5;Cha;ASV_106 Pelagomonadales clade B1 sp.;TRUE;5;1442;8,8;NA;NA;60,6;3,2;13,9
6;Cha;ASV_116 Pelagomonadales clade B1 sp.;TRUE;6;1378;8,4;NA;NA;69;3,1;16,7
7;Cha;ASV_157 Pelagomonadales clade B1 sp.;TRUE;7;924;5,7;NA;NA;74,7;3;19,4
8;Cha;ASV_152 A. anophagefferens;TRUE;8;686;4,2;NA;NA;78,9;2,8;22,2
9;Cha;ASV_193 A. anophagefferens;TRUE;9;581;3,6;NA;NA;82,4;2,8;25
10;Cha;ASV_205 A. anophagefferens;TRUE;10;508;3,1;NA;NA;85,5;2,7;27,8
11;Cha;ASV_298_Aureococcus_anophagefferens;FALSE;11;312;1,9;NA;NA;87,4;2,5;30,6
12;Cha;ASV_502_Pelagomonadaceae_clade_D1_sp.;FALSE;12;232;1,4;NA;NA;88,9;2,4;33,3
13;Cha;ASV_593_Non_Assigned;FALSE;13;196;1,2;NA;NA;90,1;2,3;36,1
14;Cha;ASV_633_Pelagomonadaceae_clade_D1_sp.;FALSE;14;190;1,2;NA;NA;91,2;2,3;38,9
15;Cha;ASV_314_Chrysophyceae_Clade-H_X_sp.;FALSE;15;190;1,2;NA;NA;92,4;2,3;41,7
16;Cha;ASV_835_Pelagomonas_calceolata;FALSE;16;120;0,7;NA;NA;93,1;2,1;44,4
17;Cha;ASV_668_Pelagomonadaceae_clade_C_sp.;FALSE;17;114;0,7;NA;NA;93,8;2,1;47,2
18;Cha;ASV_642_Florenciella_parvula;FALSE;18;98;0,6;NA;NA;94,4;2;50
19;Cha;ASV_535_Chrysophyceae_Clade-H_X_sp.;FALSE;19;94;0,6;NA;NA;95;2;52,8
20;Cha;ASV_1091_Pelagomonas_calceolata;FALSE;20;93;0,6;NA;NA;95,6;2;55,6
21;Cha;ASV_412_Paraphysomonas_imperforata;FALSE;21;90;0,6;NA;NA;96,1;2;58,3
22;Fla;ASV_40 P. calceolata;TRUE;1;685;14,3;9,8;18,9;14,3;2,8;2,8
