"";"Cha";"Fla";"Hu";"Pc"
"ASV_633_Pelagomonadaceae_clade_D1_sp.";190;59;45;2
"ASV_1907_Rhodomonas_sp.";6;16;14;11
"ASV_946_Minidiscus_variabilis";10;86;51;1
"ASV_276_Katablepharidales_XX_sp.";92;328;179;196
"ASV_1249_Non_Assigned";23;39;37;5
"ASV_501_Chloroparvula_pacifica";366;54;9;13
"ASV_443_Chlorodendrales_XX_sp.";47;10;316;54
"ASV_29_Chloroparvula_pacifica";1529;2576;1120;880
"ASV_1403_Pelagomonas_calceolata";61;3;10;22
"ASV_736_Micromonas_pusilla";13;62;71;73
"ASV_539_Leucocryptos_marina";65;95;94;84
"ASV_109_Non_Assigned";26;87;359;1775
"ASV_66_Teleaulax_gracilis";794;1660;934;383
"ASV_606_Chrysochromulina_sp.";110;18;99;83
"ASV_10_Bathycoccus_prasinos";2347;2460;5535;2917
"ASV_62_Pelagomonas_calceolata";1892;447;1113;689
"ASV_1997_Crustomastigaceae_X_sp.";4;11;24;6
"ASV_885_Micromonas_pusilla";3;52;53;61
"ASV_1631_Florenciellales_X_sp.";28;33;7;3
"ASV_593_Non_Assigned";196;85;54;8
"ASV_38_Phaeocystis_globosa";2890;686;1703;135
"ASV_910_Triparma_pacifica";11;40;92;3
"ASV_106_Pelagomonadales_clade_B1_sp.";1442;205;690;124
"ASV_455_Haptolina_sp.";258;53;128;27
"ASV_235_Crustomastigaceae_X_sp.";165;60;463;301
"ASV_722_Chloroparvula_pacifica";48;102;49;37
"ASV_1431_Brockmanniella_brockmannii";10;29;13;36
"ASV_157_Pelagomonadales_clade_B1_sp.";924;132;407;73
"ASV_37_Micromonas_commoda_A2";467;647;3104;1043
"ASV_834_Chrysochromulina_sp.";59;38;76;15
"ASV_2113_Rhizosolenia_imbricata";17;17;3;1
"ASV_1166_Non_Assigned";62;29;16;12
"ASV_86_Chloroparvula_pacifica";1447;740;374;313
"ASV_1436_Micromonas_bravo_B2";12;3;22;46
"ASV_218_Guinardia_delicatula";522;255;6;288
"ASV_2202_Non_Assigned";4;9;14;1
"ASV_78_Chloroparvula_pacifica";1609;803;455;376
"ASV_1317_Chrysochromulina_sp.";6;47;33;7
"ASV_642_Florenciella_parvula";98;35;82;40
"ASV_537_Hemiselmis_sp._nucl";194;19;88;59
"ASV_1295_Florenciellales_X_sp.";2;6;49;34
"ASV_60_Pycnococcaceae_X_sp.";1437;1584;514;392
"ASV_58_Phaeocystis_globosa";2169;523;1267;118
"ASV_23_Micromonas_bravo_B1";913;1396;3309;1601
"ASV_1173_Micromonas_bravo_B2";14;5;28;71
"ASV_471_Chrysophyceae_Clade-H_X_sp.";68;239;71;20
"ASV_300_Chloroparvula_pacifica";188;246;69;258
"ASV_193_Aureococcus_anophagefferens";581;113;422;150
"ASV_50_Plagioselmis_prolonga";464;1679;1541;701
"ASV_1364_Chrysophyceae_Clade-H_X_sp.";20;22;8;51
"ASV_2062_Florenciellales_X_sp.";9;7;8;21
"ASV_118_Teleaulax_sp.";473;577;723;406
"ASV_1363_Micromonas_pusilla";6;24;27;33
"ASV_192_Chloroparvula_pacifica";274;402;204;344
"ASV_725_Chrysophyceae_Clade-H_X_sp.";70;85;1;81
"ASV_167_Katablepharidales_XX_sp.";389;432;255;299
"ASV_94_Pycnococcaceae_X_sp.";945;1121;312;205
"ASV_71_Chaetoceros_debilis";1834;1592;87;9
"ASV_2520_Rhizosolenia_delicatula";2;6;13;5
"ASV_40_Pelagomonas_calceolata";2628;685;1457;850
"ASV_33_Micromonas_commoda_A2";454;745;3218;1237
"ASV_152_Aureococcus_anophagefferens";686;159;501;191
"ASV_59_Picochlorum_sp.";121;1943;336;1610
"ASV_1560_Rhodomonas_sp.";20;10;27;9
"ASV_323_Chrysochromulina_sp.";290;165;192;77
"ASV_89_Teleaulax_gracilis";526;1255;711;289
"ASV_2990_Chrysophyceae_Clade-H_X_sp.";3;6;1;9
"ASV_13_Bathycoccus_prasinos";1978;1861;4214;2358
"ASV_1004_Pelagomonadaceae_clade_C_sp.";77;30;23;3
"ASV_205_Aureococcus_anophagefferens";508;135;457;116
"ASV_1092_Pelagomonas_calceolata";76;10;20;15
"ASV_597_Chloropicon_sieburthii";128;145;40;16
"ASV_404_Chloroparvula_pacifica";105;228;90;76
"ASV_52_Ostreococcus_lucimarinus";319;503;2827;497
"ASV_115_Minutocellus_polymorphus";36;129;218;1713
"ASV_446_Cylindrotheca_closterium";173;70;49;141
"ASV_2_Ostreococcus_lucimarinus";7719;11447;60783;11934
"ASV_1347_Pelagomonadaceae_clade_C_sp.";47;25;9;2
"ASV_31_Plagioselmis_prolonga";717;2285;2135;968
"ASV_49_Phaeocystis_globosa";2205;757;1390;68
"ASV_82_Pelagomonadales_clade_B1_sp.";1915;255;819;154
"ASV_44_Plagioselmis_prolonga";434;1761;1651;734
"ASV_1862_Crustomastigaceae_X_sp.";4;7;32;5
"ASV_985_Non_Assigned";45;75;16;10
"ASV_668_Pelagomonadaceae_clade_C_sp.";114;101;28;15
"ASV_255_Katablepharidales_XX_sp.";116;337;186;213
"ASV_30_Picochlorum_sp.";285;2819;784;2104
"ASV_2680_Brockmanniella brockmannii";5;1;11;7
"ASV_1312_Brockmanniella brockmannii";10;33;37;20
"ASV_144_Chaetoceros_tenuissimus";1437;89;27;12
"ASV_1171_Non_Assigned";36;56;21;5
"ASV_690_Chloroparvula_pacifica";228;35;6;9
"ASV_510_Chloroparvula_pacifica";90;160;70;59
"ASV_14_Bathycoccus_prasinos";1783;1792;4012;2139
"ASV_412_Paraphysomonas_imperforata";90;262;111;40
"ASV_63_Ostreococcus_lucimarinus";240;426;2569;519
"ASV_1241_Chrysochromulina_sp.";21;40;29;8
"ASV_4_Ostreococcus_lucimarinus";7211;10572;56499;10798
"ASV_2601_Chloroparvula_B3_sp.";6;13;5;3
"ASV_3447_Chrysophyceae_Clade-H_X_sp.";5;2;6;2
"ASV_1388_Chloropicon_roscoffensis";7;65;6;12
"ASV_181_Chloropicon_laureae";167;941;139;49
"ASV_535_Chrysophyceae_Clade-H_X_sp.";94;232;6;35
"ASV_314_Chrysophyceae_Clade-H_X_sp.";190;459;6;58
"ASV_1054_Hemiselmis_sp._nucl";38;26;28;30
"ASV_1_Ostreococcus_lucimarinus";10017;14990;80511;15324
"ASV_1164_Pelagomonadaceae_clade_C_sp.";55;31;16;7
"ASV_35_Ostreococcus_lucimarinus";383;589;3632;758
"ASV_77_Minutocellus_polymorphus";257;175;327;2345
"ASV_1091_Pelagomonas_calceolata";93;2;13;29
"ASV_452_Chloroparvula_pacifica";133;205;74;51
"ASV_99_Teleaulax_gracilis";469;1153;683;279
"ASV_126_Detonula_pumila";4;2;69;1913
"ASV_51_Picochlorum_sp.";42;2095;316;1774
"ASV_577_Chlorodendrales_XX_sp.";14;13;262;27
"ASV_465_Parmales_env_3B_sp.";37;185;162;32
"ASV_298_Aureococcus_anophagefferens";312;112;287;97
"ASV_83_Teleaulax_sp.";601;725;999;599
"ASV_140_Pycnococcaceae_X_sp.";709;764;81;105
"ASV_18_Rhizosolenia_delicatula";8010;121;13;2
"ASV_15_Micromonas_bravo_B1";1217;1769;4342;2082
"ASV_21_Micromonas_commoda_A2";684;914;4337;1561
"ASV_1480_Triparma_laevis_clade";10;19;29;15
"ASV_2201_Rhodomonas_sp.";3;4;14;8
"ASV_26_Micromonas_bravo_B1";926;1253;3016;1512
"ASV_359_Ostreococcus_lucimarinus";61;99;329;96
"ASV_116_Pelagomonadales_clade_B1_sp.";1378;203;614;123
"ASV_576_Parmales_env_3A_sp.";89;146;58;54
"ASV_84_Pycnococcaceae_X_sp.";1068;1152;297;240
"ASV_2098_Crustomastigaceae_X_sp.";1;7;19;8
"ASV_382_Chloroparvula_pacifica";464;106;12;16
"ASV_56_Chloroparvula_pacifica";1109;1817;665;614
"ASV_835_Pelagomonas_calceolata";120;8;41;25
"ASV_112_Teleaulax_sp.";480;538;760;459
"ASV_3445_Guinardia_solstherfothii";2;3;2;2
"ASV_353_Chrysochromulina_sp.";196;203;196;24
"ASV_274_Guinardia_delicatula";416;227;4;195
"ASV_1152_Minidiscus_variabilis";7;108;9;2
"ASV_502_Pelagomonadaceae_clade_D1_sp.";232;107;62;8
"ASV_499_Chloroparvula_pacifica";347;78;1;13
"ASV_872_Chrysochromulina_sp.";9;22;118;4
"ASV_1231_Florenciella_parvula";81;8;29;9
"ASV_252_Chloroparvula_pacifica";216;282;143;278
"ASV_1218_Chrysophyceae_Clade-H_X_sp.";31;37;1;38
"ASV_65_Chloroparvula_pacifica";1907;941;551;435
"ASV_53_Pelagomonas_calceolata";2014;439;1243;760
"ASV_413_Leucocryptos_marina";66;267;56;91
"ASV_906_Micromonas_pusilla";9;44;46;62
"ASV_783_Leucocryptos_marina";47;106;17;20
"ASV_1254_Prymnesiophyceae_Clade_D_XX_sp.";25;10;57;10
"ASV_28_Rhizosolenia_delicatula";5692;78;16;2
"ASV_131_Thalassiosira_tenera";447;140;218;1114
"ASV_1405_Chrysochromulina_sp.";2;14;51;20
"ASV_1153_Micromonas_bravo_B2";24;4;29;65
"ASV_1694_Chrysochromulina_sp.";14;36;13;2
"ASV_48_Chloroparvula_pacifica";1091;1858;832;669
"ASV_806_Hemiselmis_sp._nucl";46;31;60;38
"ASV_969_Thalassiosira_rotula";93;1;37;15
