"";"dOTU";"ShaOTU";"genus";"spp"
"1";"ASV_633_Pelagomonadaceae_clade_D1_sp.";"ASV_633";"Pelagomonadaceae_clade_D1";"Pelagomonadaceae_clade_D1_sp."
"2";"ASV_1907_Rhodomonas_sp.";"ASV_1907";"Rhodomonas";"Rhodomonas_sp."
"3";"ASV_946_Minidiscus_variabilis";"ASV_946";"Minidiscus";"Minidiscus_variabilis"
"4";"ASV_276_Katablepharidales_XX_sp.";"ASV_276";"Katablepharidales_XX";"Katablepharidales_XX_sp."
"5";"ASV_1249_Non_Assigned";"ASV_1249";NA;NA
"6";"ASV_501_Chloroparvula_pacifica";"ASV_501";"Chloroparvula";"Chloroparvula_pacifica"
"7";"ASV_443_Chlorodendrales_XX_sp.";"ASV_443";"Chlorodendrales_XX";"Chlorodendrales_XX_sp."
"8";"ASV_29_Chloroparvula_pacifica";"ASV_29";"Chloroparvula";"Chloroparvula_pacifica"
"9";"ASV_1403_Pelagomonas_calceolata";"ASV_1403";"Pelagomonas";"Pelagomonas_calceolata"
"10";"ASV_736_Micromonas_pusilla";"ASV_736";"Micromonas";"Micromonas_pusilla"
"11";"ASV_539_Leucocryptos_marina";"ASV_539";"Leucocryptos";"Leucocryptos_marina"
"12";"ASV_109_Non_Assigned";"ASV_109";NA;NA
"13";"ASV_66_Teleaulax_gracilis";"ASV_66";"Teleaulax";"Teleaulax_gracilis"
"14";"ASV_606_Chrysochromulina_sp.";"ASV_606";"Chrysochromulina";"Chrysochromulina_sp."
"15";"ASV_10_Bathycoccus_prasinos";"ASV_10";"Bathycoccus";"Bathycoccus_prasinos"
"16";"ASV_62_Pelagomonas_calceolata";"ASV_62";"Pelagomonas";"Pelagomonas_calceolata"
"17";"ASV_1997_Crustomastigaceae_X_sp.";"ASV_1997";"Crustomastigaceae_X";"Crustomastigaceae_X_sp."
"18";"ASV_885_Micromonas_pusilla";"ASV_885";"Micromonas";"Micromonas_pusilla"
"19";"ASV_1631_Florenciellales_X_sp.";"ASV_1631";"Florenciellales_X";"Florenciellales_X_sp."
"20";"ASV_593_Non_Assigned";"ASV_593";NA;NA
"21";"ASV_38_Phaeocystis_globosa";"ASV_38";"Phaeocystis";"Phaeocystis_globosa"
"22";"ASV_910_Triparma_pacifica";"ASV_910";"Triparma";"Triparma_pacifica"
"23";"ASV_106_Pelagomonadales_clade_B1_sp.";"ASV_106";"Pelagomonadales_clade_B1";"Pelagomonadales_clade_B1_sp."
"24";"ASV_455_Haptolina_sp.";"ASV_455";"Haptolina";"Haptolina_sp."
"25";"ASV_235_Crustomastigaceae_X_sp.";"ASV_235";"Crustomastigaceae_X";"Crustomastigaceae_X_sp."
"26";"ASV_722_Chloroparvula_pacifica";"ASV_722";"Chloroparvula";"Chloroparvula_pacifica"
"27";"ASV_1431_Brockmanniella_brockmannii";"ASV_1431";"Brockmanniella";"Brockmanniella brockmannii"
"28";"ASV_157_Pelagomonadales_clade_B1_sp.";"ASV_157";"Pelagomonadales_clade_B1";"Pelagomonadales_clade_B1_sp."
"29";"ASV_37_Micromonas_commoda_A2";"ASV_37";"Micromonas";"Micromonas_commoda_A2"
"30";"ASV_834_Chrysochromulina_sp.";"ASV_834";"Chrysochromulina";"Chrysochromulina_sp."
"31";"ASV_2113_Rhizosolenia_imbricata";"ASV_2113";"Rhizosolenia";"Rhizosolenia_imbricata"
"32";"ASV_1166_Non_Assigned";"ASV_1166";"Thalassiosira";NA
"33";"ASV_86_Chloroparvula_pacifica";"ASV_86";"Chloroparvula";"Chloroparvula_pacifica"
"34";"ASV_1436_Micromonas_bravo_B2";"ASV_1436";"Micromonas";"Micromonas_bravo_B2"
"35";"ASV_218_Guinardia_delicatula";"ASV_218";"Guinardia";"Guinardia_delicatula"
"36";"ASV_2202_Non_Assigned";"ASV_2202";"Pyramimonas";NA
"37";"ASV_78_Chloroparvula_pacifica";"ASV_78";"Chloroparvula";"Chloroparvula_pacifica"
"38";"ASV_1317_Chrysochromulina_sp.";"ASV_1317";"Chrysochromulina";"Chrysochromulina_sp."
"39";"ASV_642_Florenciella_parvula";"ASV_642";"Florenciella";"Florenciella_parvula"
"40";"ASV_537_Hemiselmis_sp._nucl";"ASV_537";"Hemiselmis:nucl";"Hemiselmis_sp.:nucl"
