"";"rank";"abundance";"proportion";"plower";"pupper";"accumfreq";"logabun";"rankfreq"
"ASV_1_Ostreococcus_lucimarinus";1;120842;21,2;18,2;24,2;21,2;5,1;0,6
"ASV_2_Ostreococcus_lucimarinus";2;91883;16,1;13,9;18,4;37,4;5;1,3
"ASV_4_Ostreococcus_lucimarinus";3;85080;14,9;12,9;17;52,3;4,9;1,9
"ASV_10_Bathycoccus_prasinos";4;13259;2,3;1,9;2,8;54,6;4,1;2,5
"ASV_13_Bathycoccus_prasinos";5;10411;1,8;1,5;2,2;56,5;4;3,2
"ASV_14_Bathycoccus_prasinos";6;9726;1,7;1,4;2;58,2;4;3,8
"ASV_15_Micromonas_bravo_B1";7;9410;1,7;1,2;2,1;59,8;4;4,4
"ASV_18_Rhizosolenia_delicatula";8;8146;1,4;-0,2;3,1;61,3;3,9;5,1
"ASV_21_Micromonas_commoda_A2";9;7496;1,3;1,1;1,6;62,6;3,9;5,7
"ASV_23_Micromonas_bravo_B1";10;7219;1,3;0,9;1,6;63,8;3,9;6,3
"ASV_26_Micromonas_bravo_B1";11;6707;1,2;0,9;1,5;65;3,8;7
"ASV_29_Chloroparvula_pacifica";12;6105;1,1;0,6;1,6;66,1;3,8;7,6
"ASV_31_Plagioselmis_prolonga";13;6105;1,1;0,8;1,3;67,2;3,8;8,2
"ASV_30_Picochlorum_sp.";14;5992;1,1;0,5;1,6;68,2;3,8;8,9
"ASV_28_Rhizosolenia_delicatula";15;5788;1;-0,2;2,2;69,2;3,8;9,5
"ASV_33_Micromonas_commoda_A2";16;5654;1;0,8;1,2;70,2;3,8;10,1
"ASV_40_Pelagomonas_calceolata";17;5620;1;0,5;1,4;71,2;3,7;10,8
"ASV_38_Phaeocystis_globosa";18;5414;1;0,2;1,7;72,2;3,7;11,4
"ASV_35_Ostreococcus_lucimarinus";19;5362;0,9;0,8;1,1;73,1;3,7;12
"ASV_37_Micromonas_commoda_A2";20;5261;0,9;0,7;1,1;74;3,7;12,7
"ASV_44_Plagioselmis_prolonga";21;4580;0,8;0,6;1;74,8;3,7;13,3
"ASV_53_Pelagomonas_calceolata";22;4456;0,8;0,5;1,1;75,6;3,6;13,9
"ASV_48_Chloroparvula_pacifica";23;4450;0,8;0,4;1,1;76,4;3,6;14,6
"ASV_49_Phaeocystis_globosa";24;4420;0,8;0,2;1,4;77,2;3,6;15,2
"ASV_50_Plagioselmis_prolonga";25;4385;0,8;0,6;1;77,9;3,6;15,8
"ASV_51_Picochlorum_sp.";26;4227;0,7;0,3;1,2;78,7;3,6;16,5
"ASV_56_Chloroparvula_pacifica";27;4205;0,7;0,4;1,1;79,4;3,6;17,1
"ASV_52_Ostreococcus_lucimarinus";28;4146;0,7;0,6;0,8;80,2;3,6;17,7
"ASV_62_Pelagomonas_calceolata";29;4141;0,7;0,4;1;80,9;3,6;18,4
"ASV_58_Phaeocystis_globosa";30;4077;0,7;0,2;1,3;81,6;3,6;19
